index,pilar,format,kategori_footage,narator,durasi_target,judul_internal,hook,beats,cta,caption_on_screen,footage_search_keywords,tiktok_caption,tiktok_hashtags,youtube_title,youtube_description
1,Proses Giling Basah (ciri khas Sumatra),Perbandingan,Rumah giling & roastery (Mandailing),Adit,25-35 detik,Proses Giling Basah (ciri khas Sumatra) — Perbandingan (Adit @ Rumah giling & roastery (Mandailing)),Rumah giling & roastery (Mandailing): mari kita bandingkan dua sisi soal petani sumatra mengembangkan giling basah.,Giling basah berkembang sebagai solusi petani menghadapi cuaca tropis yang lembap. | Giling basah (wet-hulling) adalah proses pascapanen unik yang cuma umum di Sumatra.,Menurut kamu mana yang lebih menarik? Komen di bawah!,Giling basah berkembang sebagai solusi petani menghadapi cuaca tropis yang lembap.,wooden coffee mill house roastery interior Indonesia | coffee mill house rural Indonesia | wet coffee parchment beans pile,Rumah giling & roastery (Mandailing): mari kita bandingkan dua sisi soal petani sumatra mengembangkan giling basah. Eps 1/10 🌱☕,#kopisumatra #gilingbasah #edukasikopi #coffeetok,Proses Giling Basah (ciri khas Sumatra) #Shorts,Giling basah berkembang sebagai solusi petani menghadapi cuaca tropis yang lembap. Eps 1/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
2,Sortasi & Fermentasi,POV Kunjungan Kebun,Warung kopi & brewing,Kak Nur,25-35 detik,Sortasi & Fermentasi — POV Kunjungan Kebun (Kak Nur @ Warung kopi & brewing),POV: kamu baru sampai di Warung kopi & brewing bareng Kak Nur.,"Kualitas sortasi sangat memengaruhi harga jual kopi ke eksportir. | Setelah giling basah, biji kopi disortasi manual untuk membuang biji cacat atau berlubang.",Komentar 'lanjut' kalau mau Kak Nur tunjukin tahap berikutnya!,Kualitas sortasi sangat memengaruhi harga jual kopi ke eksportir.,traditional Indonesian coffee shop interior warm light | coffee warehouse sacks grading | hand sorting coffee beans defects table,POV: kamu baru sampai di Warung kopi & brewing bareng Kak Nur. Eps 2/10 🌱☕,#kopisumatra #sortasifermentasi #edukasikopi #coffeetok,Sortasi & Fermentasi #Shorts,Kualitas sortasi sangat memengaruhi harga jual kopi ke eksportir. Eps 2/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
3,Budaya Ngopi & Petani,Fakta Cepat,Kebun dataran tinggi (Gayo/Lintong),Adit,15-20 detik,Budaya Ngopi & Petani — Fakta Cepat (Adit @ Kebun dataran tinggi (Gayo/Lintong)),Tau nggak kenapa harga kopi dunia memengaruhi petani kecil?,Harga kopi dunia yang fluktuatif berdampak langsung pada pendapatan petani kecil.,Follow biar kamu makin banyak tau fakta kopi Sumatra!,Harga kopi dunia yang fluktuatif berdampak langsung pada pendapatan petani kecil.,aerial misty highland coffee plantation sunrise Indonesia | coffee market price board trading,Tau nggak kenapa harga kopi dunia memengaruhi petani kecil? Eps 3/10 🌱☕,#kopisumatra #budaya #edukasikopi #coffeetok,Budaya Ngopi & Petani #Shorts,Harga kopi dunia yang fluktuatif berdampak langsung pada pendapatan petani kecil. Eps 3/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
4,Proses Giling Basah (ciri khas Sumatra),Mitos vs Fakta,Warung kopi & brewing,Adit,20-30 detik,Proses Giling Basah (ciri khas Sumatra) — Mitos vs Fakta (Adit @ Warung kopi & brewing),Katanya biji kopi sumatra berwarna kebiruan. Beneran gitu?,"Giling basah (wet-hulling) adalah proses pascapanen unik yang cuma umum di Sumatra. | Kulit tanduk yang masih lembap langsung digiling, bukan dikeringkan penuh dulu seperti proses washed biasa.",Follow biar kamu nggak salah kaprah soal kopi lagi!,Giling basah (wet-hulling) adalah proses pascapanen unik yang cuma umum di Sumatra.,traditional Indonesian coffee shop interior warm light | wet coffee parchment beans pile | manual coffee huller machine wood,Katanya biji kopi sumatra berwarna kebiruan. Beneran gitu? Eps 4/10 🌱☕,#kopisumatra #gilingbasah #edukasikopi #coffeetok,Proses Giling Basah (ciri khas Sumatra) #Shorts,Giling basah (wet-hulling) adalah proses pascapanen unik yang cuma umum di Sumatra. Eps 4/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
5,Penanaman & Perawatan,Mitos vs Fakta,Rumah giling & roastery (Mandailing),Kak Nur,20-30 detik,Penanaman & Perawatan — Mitos vs Fakta (Kak Nur @ Rumah giling & roastery (Mandailing)),Katanya naungan pohon menjaga kelembapan tanah. Beneran gitu?,Naungan pohon juga membantu menjaga kelembapan tanah di musim kering. | Butuh 3-4 tahun sejak tanam sebelum pohon kopi berbuah untuk pertama kali.,Follow biar kamu nggak salah kaprah soal kopi lagi!,Naungan pohon juga membantu menjaga kelembapan tanah di musim kering.,wooden coffee mill house roastery interior Indonesia | shade tree coffee farm sunlight | coffee seedling nursery young plants,Katanya naungan pohon menjaga kelembapan tanah. Beneran gitu? Eps 5/10 🌱☕,#kopisumatra #penanaman #edukasikopi #coffeetok,Penanaman & Perawatan #Shorts,Naungan pohon juga membantu menjaga kelembapan tanah di musim kering. Eps 5/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
6,Karakter Rasa & Cupping,POV Kunjungan Kebun,Warung kopi & brewing,Pak Bahri,25-35 detik,Karakter Rasa & Cupping — POV Kunjungan Kebun (Pak Bahri @ Warung kopi & brewing),POV: kamu baru sampai di Warung kopi & brewing bareng Pak Bahri.,"After-taste kopi Sumatra biasanya bertahan lama di lidah. | Kopi Sumatra dikenal dengan rasa earthy, herbal, dan rempah yang khas.",Komentar 'lanjut' kalau mau Pak Bahri tunjukin tahap berikutnya!,After-taste kopi Sumatra biasanya bertahan lama di lidah.,traditional Indonesian coffee shop interior warm light | coffee cup steam closeup aftertaste | coffee cupping tasting spoon closeup,POV: kamu baru sampai di Warung kopi & brewing bareng Pak Bahri. Eps 6/10 🌱☕,#kopisumatra #citarasa #edukasikopi #coffeetok,Karakter Rasa & Cupping #Shorts,After-taste kopi Sumatra biasanya bertahan lama di lidah. Eps 6/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
7,Proses Roasting,Mitos vs Fakta,Rumah giling & roastery (Mandailing),Pak Bahri,20-30 detik,Proses Roasting — Mitos vs Fakta (Pak Bahri @ Rumah giling & roastery (Mandailing)),Katanya biji kopi berubah drastis saat di-roast. Beneran gitu?,"Biji kopi kehilangan berat dan berubah warna drastis selama proses roasting. | Karena body-nya tebal, kopi Sumatra sering di-roast pada level medium hingga dark.",Follow biar kamu nggak salah kaprah soal kopi lagi!,Biji kopi kehilangan berat dan berubah warna drastis selama proses roasting.,wooden coffee mill house roastery interior Indonesia | coffee beans color change roasting process | coffee roasting drum machine smoke,Katanya biji kopi berubah drastis saat di-roast. Beneran gitu? Eps 7/10 🌱☕,#kopisumatra #roasting #edukasikopi #coffeetok,Proses Roasting #Shorts,Biji kopi kehilangan berat dan berubah warna drastis selama proses roasting. Eps 7/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
8,Karakter Rasa & Cupping,POV Kunjungan Kebun,Rumah giling & roastery (Mandailing),Adit,25-35 detik,Karakter Rasa & Cupping — POV Kunjungan Kebun (Adit @ Rumah giling & roastery (Mandailing)),POV: kamu baru sampai di Rumah giling & roastery (Mandailing) bareng Adit.,"Kopi Sumatra dikenal dengan rasa earthy, herbal, dan rempah yang khas. | Body kopi Sumatra sangat tebal, sering digambarkan seperti sirup (syrupy).",Komentar 'lanjut' kalau mau Adit tunjukin tahap berikutnya!,"Kopi Sumatra dikenal dengan rasa earthy, herbal, dan rempah yang khas.",wooden coffee mill house roastery interior Indonesia | coffee cupping tasting spoon closeup | thick coffee pour syrupy texture,POV: kamu baru sampai di Rumah giling & roastery (Mandailing) bareng Adit. Eps 8/10 🌱☕,#kopisumatra #citarasa #edukasikopi #coffeetok,Karakter Rasa & Cupping #Shorts,"Kopi Sumatra dikenal dengan rasa earthy, herbal, dan rempah yang khas. Eps 8/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts"
9,Penanaman & Perawatan,ASMR Proses,Warung kopi & brewing,Adit,20-30 detik,Penanaman & Perawatan — ASMR Proses (Adit @ Warung kopi & brewing),Dengarkan dan lihat prosesnya baik-baik.,Butuh 3-4 tahun sejak tanam sebelum pohon kopi berbuah untuk pertama kali. | Pohon kopi ditanam di bawah naungan lamtoro atau sengon agar tidak kena matahari langsung.,Tenang banget ya prosesnya? Follow buat konten ASMR kopi lainnya!,Butuh 3-4 tahun sejak tanam sebelum pohon kopi berbuah untuk pertama kali.,traditional Indonesian coffee shop interior warm light | coffee seedling nursery young plants | coffee trees shade grown canopy,Dengarkan dan lihat prosesnya baik-baik. Eps 9/10 🌱☕,#kopisumatra #penanaman #edukasikopi #coffeetok,Penanaman & Perawatan #Shorts,Butuh 3-4 tahun sejak tanam sebelum pohon kopi berbuah untuk pertama kali. Eps 9/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts
10,Sortasi & Fermentasi,Fakta Cepat,Rumah giling & roastery (Mandailing),Pak Bahri,15-20 detik,Sortasi & Fermentasi — Fakta Cepat (Pak Bahri @ Rumah giling & roastery (Mandailing)),Tau nggak kenapa biji kopi disortir satu per satu pakai tangan?,"Setelah giling basah, biji kopi disortasi manual untuk membuang biji cacat atau berlubang.",Follow biar kamu makin banyak tau fakta kopi Sumatra!,"Setelah giling basah, biji kopi disortasi manual untuk membuang biji cacat atau berlubang.",wooden coffee mill house roastery interior Indonesia | hand sorting coffee beans defects table,Tau nggak kenapa biji kopi disortir satu per satu pakai tangan? Eps 10/10 🌱☕,#kopisumatra #sortasifermentasi #edukasikopi #coffeetok,Sortasi & Fermentasi #Shorts,"Setelah giling basah, biji kopi disortasi manual untuk membuang biji cacat atau berlubang. Eps 10/10 seri Kopi Sumatra: Dari Kebun ke Cangkir. #kopisumatra #edukasikopi #Shorts"
